经脉分类,经脉,穴位,效果
十二正经-足少阳胆经,足少阳胆经,风市,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,中渎,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,膝阳关,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,阳陵泉,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,阳交,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,外丘,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,光明,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,阳辅,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,悬钟,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,丘墟,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,足临泣,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,地五会,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,侠溪,"底气上限+10，后天身手+2"
十二正经-足少阳胆经,足少阳胆经,足窍阴,"底气上限+10，后天身手+2"
十二正经-足厥阴肝经,足厥阴肝经,大敦,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,行间,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,太冲,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,中封,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,蠡沟,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,中都,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,膝关,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,曲泉,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,阴包,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,足五里,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,阴廉,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,急脉,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,章门,"底气上限+10，后天筋骨+2"
十二正经-足厥阴肝经,足厥阴肝经,期门,"底气上限+10，后天筋骨+2"
